Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
akto,com.akto.parsers,HttpCallParser,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.akto.log.LoggerMaker; com.akto.runtime.APICatalogSync; com.akto.dto.traffic_metrics.TrafficMetrics; com.akto.runtime.URLAggregator; com.akto.dto.HttpRequestParams
akto,com.akto.parsers,HttpCallParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
akto,com.akto.parsers,HttpCallParser,Law of Demeter violation,The tool detected the smell in this method (getTrafficMetricsKey) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getHeaders; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.parsers,HttpCallParser,Law of Demeter violation,The tool detected the smell in this method (filterHttpResponseParams) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getHeaders; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.parsers,HttpCallParser,Law of Demeter violation,The tool detected the smell in this method (filterHttpResponseParams) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getHeaders; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.parsers,HttpCallParser,Law of Demeter violation,The tool detected the smell in this method (filterHttpResponseParams) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.graphql.GraphQLUtils.getUtils; com.akto.graphql.GraphQLUtils.parseGraphqlResponseParam
akto,com.akto.parsers,HttpCallParser,Law of Demeter violation,The tool detected the smell in this method (aggregate) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getApiCollectionId; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.parsers,KafkaParserTest,Law of Demeter violation,The tool detected the smell in this method (testHappyPath) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpResponseParams.getRequestParams; com.akto.dto.HttpRequestParams.getURL
akto,com.akto.parsers,KafkaParserTest,Law of Demeter violation,The tool detected the smell in this method (testEmptyHeader) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getHeaders; com.akto.dto.HttpResponseParams.getRequestParams
akto,com.akto.parsers,KafkaParserTest,Law of Demeter violation,The tool detected the smell in this method (testPostQueryString) because the method voilates the law of Demeter. The long chain of method invocations is : com.akto.dto.HttpRequestParams.getPayload; com.akto.dto.HttpResponseParams.getRequestParams
