Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
akto,com.akto.parsers,HttpCallParser,11,1,22,22,276,51,0,0,0.13636363636363635,15,15,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\parsers\HttpCallParser.java,22
akto,com.akto.parsers,KafkaParserTest,1,0,3,3,44,3,0,0,1.0,0,2,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\parsers\KafkaParserTest.java,11
akto,com.akto.parsers,TestDBSync,1,0,13,13,307,16,0,0,0.5384615384615384,0,16,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\parsers\TestDBSync.java,38
akto,com.akto.parsers,TestDump2,0,0,16,15,233,18,0,0,-1.0,2,10,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\parsers\TestDump2.java,29
akto,com.akto.parsers,TestMergingNew,0,0,24,20,569,52,0,0,-1.0,0,16,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\parsers\TestMergingNew.java,27
akto,com.akto.parsers,TrafficMetricsUpdateTest,0,0,1,1,80,2,0,0,-1.0,0,3,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\parsers\TrafficMetricsUpdateTest.java,19
akto,com.akto.runtime,APICatalogSync,16,11,34,23,1115,215,0,0,0.0,13,32,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\APICatalogSync.java,43
akto,com.akto.runtime,APICatalogSync.ApiMergerResult,2,1,0,0,17,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\APICatalogSync.java,319
akto,com.akto.runtime,APICatalogSync.DbUpdateReturn,3,3,0,0,10,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\APICatalogSync.java,1117
akto,com.akto.runtime,Flow,3,0,4,4,27,7,0,0,0.75,6,4,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\Flow.java,27
akto,com.akto.runtime,KafkaHealthMetricSyncTask,4,1,2,2,33,4,0,0,0.0,0,4,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\KafkaHealthMetricSyncTask.java,21
akto,com.akto.runtime,Main,12,6,10,8,262,36,0,0,0.0,3,20,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\Main.java,42
akto,com.akto.runtime,Main.AccountInfo,2,0,0,0,12,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\Main.java,124
akto,com.akto.runtime,MarkovSync,9,2,6,4,101,16,0,0,0.0,2,6,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\MarkovSync.java,18
akto,com.akto.runtime,PayloadAnalyzer,3,0,3,3,50,13,0,0,0.0,0,5,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\PayloadAnalyzer.java,30
akto,com.akto.runtime,RelationshipSync,10,2,9,8,193,41,0,0,0.2222222222222222,4,7,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\RelationshipSync.java,22
akto,com.akto.runtime,URLAggregator,2,0,6,6,38,10,0,0,0.0,5,2,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\URLAggregator.java,18
akto,com.akto.runtime,FlowTest,0,0,3,3,44,3,0,0,-1.0,0,2,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\FlowTest.java,11
akto,com.akto.runtime,MarkovTest,0,0,5,5,73,5,0,0,-1.0,0,6,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\MarkovTest.java,16
akto,com.akto.runtime,RelationshipTest,2,0,8,8,109,9,0,0,0.375,0,6,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\RelationshipTest.java,24
akto,com.akto.runtime,TestApiCatalogSync,0,0,5,4,125,16,0,0,-1.0,0,20,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\TestApiCatalogSync.java,26
akto,com.akto.runtime,TestMainSubFunctions,2,0,3,3,51,3,0,0,0.6666666666666666,0,6,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\TestMainSubFunctions.java,24
akto,com.akto.runtime.merge,MergeOnHostOnly,0,0,7,7,130,20,0,0,-1.0,1,9,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\merge\MergeOnHostOnly.java,32
akto,com.akto.runtime.merge,MergeSimilarUrls,0,0,8,8,110,23,0,0,-1.0,2,11,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\merge\MergeSimilarUrls.java,21
akto,com.akto.runtime.merge,TestMergeOnHostOnly,0,0,3,1,114,3,0,0,-1.0,0,10,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\merge\TestMergeOnHostOnly.java,31
akto,com.akto.runtime.policies,AktoPolicies,1,0,3,3,13,3,0,0,0.0,1,2,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\policies\AktoPolicies.java,8
akto,com.akto.runtime.policies,AktoPolicyNew,8,2,19,19,0,58,0,0,0.10526315789473684,3,22,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\policies\AktoPolicyNew.java,25
akto,com.akto.runtime.policies,AktoPolicyNew.UpdateReturn,2,2,0,0,8,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\policies\AktoPolicyNew.java,274
akto,com.akto.runtime.policies,ApiAccessTypePolicy,3,1,4,4,47,12,0,0,0.0,3,3,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\policies\ApiAccessTypePolicy.java,14
akto,com.akto.runtime.policies,AuthPolicy,3,2,3,2,103,25,0,0,0.0,4,5,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\policies\AuthPolicy.java,16
akto,com.akto.runtime.policies,SetFieldPolicy,0,0,1,1,10,2,0,0,-1.0,2,4,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\runtime\policies\SetFieldPolicy.java,11
akto,com.akto.runtime.policies,ApiAccessTypePolicyTest,1,0,6,6,53,6,0,0,0.0,0,4,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\policies\ApiAccessTypePolicyTest.java,11
akto,com.akto.runtime.policies,AuthPolicyTest,1,0,18,18,223,18,0,0,0.1111111111111111,0,6,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\policies\AuthPolicyTest.java,17
akto,com.akto.runtime.policies,SetFieldPolicyTest,0,0,2,2,19,2,0,0,-1.0,0,3,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\policies\SetFieldPolicyTest.java,10
akto,com.akto.runtime.policies,TestAktoPolicy,1,0,8,6,184,18,0,0,0.375,0,17,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\policies\TestAktoPolicy.java,21
akto,com.akto.runtime.policies,TestAktoPolicyWithoutDbCall,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\runtime\policies\TestAktoPolicyWithoutDbCall.java,11
akto,com.akto.utils,CustomAuthUtil,0,0,3,3,51,12,0,0,-1.0,2,5,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\utils\CustomAuthUtil.java,23
akto,com.akto.utils,RedactSampleData,3,1,6,6,138,23,0,0,0.3333333333333333,9,5,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\utils\RedactSampleData.java,21
akto,com.akto.utils,SampleDataToSTI,2,0,6,5,108,20,0,0,0.3333333333333333,3,5,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\main\java\com\akto\utils\SampleDataToSTI.java,19
akto,com.akto.utils,CustomAuthUtilTest,0,0,2,2,31,2,0,1,-1.0,0,6,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\utils\CustomAuthUtilTest.java,23
akto,com.akto.utils,SampleDataToSTITest,0,0,2,2,27,2,0,1,-1.0,0,6,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\utils\SampleDataToSTITest.java,22
akto,com.akto.utils,TestRedactSampleData,2,0,6,3,197,38,0,0,0.3333333333333333,0,4,C:\Users\rmaca\Downloads\akto\apps\api-runtime\src\test\java\com\akto\utils\TestRedactSampleData.java,21
akto,com.akto.utils,AktoCustomException,0,0,1,1,5,1,0,0,-1.0,2,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\AktoCustomException.java,3
akto,com.akto.utils,DashboardMode,0,0,0,0,26,0,0,0,-1.0,1,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\DashboardMode.java,5
akto,com.akto.utils,HtmlCleanPolicy,19,1,1,0,24,1,0,0,0.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\HtmlCleanPolicy.java,9
akto,com.akto.utils,HttpUtils,1,0,1,1,6,1,0,0,0.0,4,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\HttpUtils.java,5
akto,com.akto.utils,JWT,2,0,5,2,49,5,0,0,0.6,5,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\JWT.java,21
akto,com.akto.utils,Mention,0,0,1,1,20,3,0,0,-1.0,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\Mention.java,10
akto,com.akto.utils,RandomString,7,4,2,2,19,4,0,0,0.0,1,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\RandomString.java,7
akto,com.akto.utils,RateLimitCache,4,4,2,2,32,5,0,0,0.0,2,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\RateLimitCache.java,11
akto,com.akto.utils,RateLimitCache.CACHE_TYPE,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\RateLimitCache.java,24
akto,com.akto.utils,RateLimitCache.IpInfo,2,2,0,0,8,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\RateLimitCache.java,27
akto,com.akto.utils,Token,4,0,6,6,31,6,0,0,0.0,3,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\Token.java,15
akto,com.akto.utils,Utils,2,0,13,10,261,56,0,0,0.6153846153846154,6,16,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\utils\Utils.java,39
akto,com.akto.utils,TestRateLimitCache,0,0,1,1,20,1,0,0,-1.0,0,2,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\utils\TestRateLimitCache.java,10
akto,com.akto.utils,TestUtils,2,0,5,5,48,5,0,0,0.0,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\utils\TestUtils.java,13
akto,com.akto.utils,MongoBasedTest,3,3,2,2,20,3,2,0,0.0,0,2,C:\Users\rmaca\Downloads\akto\libs\dao\src\test\java\com\akto\utils\MongoBasedTest.java,15
akto,com.akto.utils,TestJsonUtils,0,0,3,3,59,3,0,0,-1.0,0,4,C:\Users\rmaca\Downloads\akto\libs\dao\src\test\java\com\akto\utils\TestJsonUtils.java,15
akto,com.akto.utils,DaoConnect,1,0,1,1,8,1,0,0,0.0,0,2,C:\Users\rmaca\Downloads\akto\libs\utils\src\test\java\com\akto\utils\DaoConnect.java,8
akto,com.akto.action,AccessTokenAction,3,1,5,5,68,13,0,0,0.0,4,4,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\AccessTokenAction.java,21
akto,com.akto.action,AccountAction,5,1,14,11,156,21,0,1,0.21428571428571427,0,11,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\AccountAction.java,34
akto,com.akto.action,AdminSettingsAction,6,2,16,15,79,20,0,1,0.375,1,10,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\AdminSettingsAction.java,14
akto,com.akto.action,APICatalogAction,1,0,3,3,18,3,0,0,0.0,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\APICatalogAction.java,9
akto,com.akto.action,ApiCollectionsAction,4,0,9,9,86,18,0,1,0.0,2,6,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\ApiCollectionsAction.java,18
akto,com.akto.action,ApiInfoAction,2,0,4,4,20,5,0,1,0.5,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\ApiInfoAction.java,18
akto,com.akto.action,ApiTokenAction,10,0,18,18,0,24,0,1,0.1111111111111111,1,8,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\ApiTokenAction.java,27
akto,com.akto.action,BurpJarAction,6,2,8,8,143,16,0,1,0.375,0,8,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\BurpJarAction.java,36
akto,com.akto.action,CustomAuthTypeAction,9,0,15,15,130,21,0,1,0.26666666666666666,1,8,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\CustomAuthTypeAction.java,25
akto,com.akto.action,CustomDataTypeAction,30,0,30,30,428,68,0,1,0.06666666666666667,1,17,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\CustomDataTypeAction.java,39
akto,com.akto.action,CustomDataTypeAction.ConditionFromUser,2,0,0,0,22,0,0,0,-1.0,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\CustomDataTypeAction.java,53
akto,com.akto.action,CustomDataTypeAction.CustomSubTypeMatch,5,0,0,0,43,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\CustomDataTypeAction.java,239
akto,com.akto.action,CustomDataTypeAction.MatchResult,2,0,0,0,8,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\CustomDataTypeAction.java,362
akto,com.akto.action,DbLogsAction,5,0,9,9,39,10,0,1,0.0,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\DbLogsAction.java,9
akto,com.akto.action,ExportSampleDataAction,10,0,19,15,230,38,0,1,0.10526315789473684,3,8,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\ExportSampleDataAction.java,25
akto,com.akto.action,FilterAction,1,0,2,2,10,2,0,1,0.0,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\FilterAction.java,9
akto,com.akto.action,HarAction,11,2,9,9,151,21,0,1,0.0,1,7,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\HarAction.java,24
akto,com.akto.action,HarAction.Awesome,2,2,0,0,28,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\HarAction.java,165
akto,com.akto.action,HarAction.GoString,2,2,0,0,25,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\HarAction.java,166
akto,com.akto.action,HarAction.ByReference,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\HarAction.java,182
akto,com.akto.action,HarAction.ByValue,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\HarAction.java,183
akto,com.akto.action,HomeAction,3,0,9,9,31,9,0,0,0.6666666666666666,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\HomeAction.java,11
akto,com.akto.action,IgnoreFalsePositivesAction,2,0,5,4,64,20,0,1,0.0,1,7,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\IgnoreFalsePositivesAction.java,23
akto,com.akto.action,InfraMetricsAction,4,0,7,7,46,7,0,0,0.42857142857142855,0,4,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\InfraMetricsAction.java,23
akto,com.akto.action,LoadersAction,2,0,4,4,18,4,0,1,0.5,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\LoadersAction.java,9
akto,com.akto.action,LoginAction,7,1,9,8,106,18,0,0,0.0,1,12,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\LoginAction.java,40
akto,com.akto.action,LogoutAction,2,0,3,3,28,4,0,1,0.0,0,4,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\LogoutAction.java,21
akto,com.akto.action,LogsAction,7,0,15,15,88,22,0,1,0.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\LogsAction.java,10
akto,com.akto.action,MiddlewareConfigAction,2,0,3,3,17,3,0,1,0.6666666666666666,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\MiddlewareConfigAction.java,9
akto,com.akto.action,OnboardingAction,5,0,8,8,56,9,0,1,0.375,0,6,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\OnboardingAction.java,16
akto,com.akto.action,OpenApiAction,7,0,10,10,75,12,0,1,0.0,0,7,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\OpenApiAction.java,24
akto,com.akto.action,ParamStateAction,1,0,3,3,25,4,0,1,0.6666666666666666,1,2,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\ParamStateAction.java,16
akto,com.akto.action,PostmanAction,14,0,27,22,354,49,0,1,0.07407407407407407,0,20,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\PostmanAction.java,36
akto,com.akto.action,ProfileAction,8,0,18,18,110,26,0,1,0.5,1,8,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\ProfileAction.java,24
akto,com.akto.action,SensitiveFieldAction,9,0,13,13,83,16,0,1,0.15384615384615385,0,2,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\SensitiveFieldAction.java,27
akto,com.akto.action,SignupAction,16,5,23,22,272,50,0,0,0.21739130434782608,1,16,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\SignupAction.java,43
akto,com.akto.action,TagConfigsAction,7,0,19,19,141,33,0,1,0.10526315789473684,0,9,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\TagConfigsAction.java,27
akto,com.akto.action,TeamAction,3,0,8,8,67,14,0,1,0.375,0,5,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\TeamAction.java,23
akto,com.akto.action,TrafficAction,8,0,13,13,73,18,0,0,0.15384615384615385,0,5,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\TrafficAction.java,19
akto,com.akto.action,UserAction,2,0,4,4,19,4,43,0,0.5,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\UserAction.java,11
akto,com.akto.action,ValidateEmailAction,1,0,2,2,20,3,0,0,0.0,0,3,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\ValidateEmailAction.java,13
akto,com.akto.action,WebhookAction,15,0,34,34,235,52,0,1,0.058823529411764705,1,9,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\WebhookAction.java,25
akto,com.akto.action,TestApiCollectionsAction,0,0,6,5,90,11,0,0,-1.0,0,4,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\action\TestApiCollectionsAction.java,16
akto,com.akto.action,TestCustomAuthTypeAction,0,0,4,4,65,4,0,0,-1.0,0,4,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\action\TestCustomAuthTypeAction.java,18
akto,com.akto.action,TestCustomDataTypeAction,0,0,8,7,141,9,0,0,-1.0,0,13,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\action\TestCustomDataTypeAction.java,33
akto,com.akto.action,TestExportSampleDataAction,0,0,2,2,16,2,0,0,-1.0,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\action\TestExportSampleDataAction.java,8
akto,com.akto.action,TestIgnoreFalsePositivesAction,0,0,1,1,29,1,0,0,-1.0,0,5,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\action\TestIgnoreFalsePositivesAction.java,20
akto,com.akto.action,TestParamStateAction,0,0,2,1,26,2,0,0,-1.0,0,3,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\action\TestParamStateAction.java,20
akto,com.akto.action,TestSignupAction,0,0,1,1,16,1,0,0,-1.0,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\action\TestSignupAction.java,8
akto,com.akto.action,TestSwaggerData,0,0,4,2,79,11,0,0,-1.0,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\action\TestSwaggerData.java,16
akto,com.akto.action,TestWebhookAction,0,0,7,7,120,7,0,0,-1.0,0,6,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\test\java\com\akto\action\TestWebhookAction.java,21
akto,com.akto.action.gpt.data_extractors,DataExtractor,0,0,1,1,3,1,1,0,-1.0,2,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\data_extractors\DataExtractor.java,7
akto,com.akto.action.gpt.data_extractors,ListApisEndpointNames,2,0,3,3,40,10,0,1,0.0,0,1,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\data_extractors\ListApisEndpointNames.java,12
akto,com.akto.action.gpt.data_extractors.filters,Filter,0,0,1,1,3,1,1,0,-1.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\data_extractors\filters\Filter.java,5
akto,com.akto.action.gpt.data_extractors.filters,FilterJunkEndpoints,3,0,3,2,54,11,0,1,0.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\data_extractors\filters\FilterJunkEndpoints.java,12
akto,com.akto.action.gpt,GptAction,5,1,7,7,43,8,0,1,0.0,6,4,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\GptAction.java,11
akto,com.akto.action.gpt,GptConfigAction,4,1,8,6,69,14,0,1,0.0,1,5,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\GptConfigAction.java,17
akto,com.akto.action.gpt.handlers,GenerateCurlForTest,1,0,2,2,30,2,0,1,0.0,0,5,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\handlers\GenerateCurlForTest.java,18
akto,com.akto.action.gpt.handlers,GenerateRegex,1,0,2,2,14,2,0,1,0.0,0,3,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\handlers\GenerateRegex.java,8
akto,com.akto.action.gpt.handlers,GptQuery,1,0,0,0,16,0,0,0,-1.0,8,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\handlers\GptQuery.java,3
akto,com.akto.action.gpt.handlers,GroupApisByFunctionality,4,0,2,2,25,4,0,1,0.0,0,4,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\handlers\GroupApisByFunctionality.java,12
akto,com.akto.action.gpt.handlers,ListApisByType,4,0,2,2,30,5,0,1,0.0,0,4,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\handlers\ListApisByType.java,12
akto,com.akto.action.gpt.handlers,ListSensitiveParameters,2,0,2,2,21,4,0,1,0.0,0,3,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\handlers\ListSensitiveParameters.java,10
akto,com.akto.action.gpt.handlers,QueryHandler,0,0,1,1,3,1,6,0,-1.0,2,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\handlers\QueryHandler.java,6
akto,com.akto.action.gpt.handlers,QueryHandlerFactory,1,0,1,1,24,7,0,0,0.0,1,2,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\handlers\QueryHandlerFactory.java,13
akto,com.akto.action.gpt.handlers,SuggestTests,8,3,3,2,43,4,0,1,0.0,0,7,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\handlers\SuggestTests.java,17
akto,com.akto.action.gpt.result_fetchers,AsyncResultFetcherStrategy,3,0,3,1,89,9,0,1,0.0,0,0,C:\Users\rmaca\Downloads\akto\apps\dashboard\src\main\java\com\akto\action\gpt\result_fetchers\AsyncResultFetcherStrategy.java,12
