Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
akto,com.akto.types,TestCappedSet,testAdd,Magic Number,The method contains a magic number: 10,9
akto,com.akto.types,TestCappedSet,testAdd,Magic Number,The method contains a magic number: 10,9
akto,com.akto.dao,TestSingleTypeInfoDao,testDefaultDomain,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId=new SingleTypeInfo.ParamId(""url""`""GET""`200`false`""param#key""`SingleTypeInfo.EMAIL`0`false);"" is 122.",29
akto,com.akto.dao,TestSingleTypeInfoDao,testDefaultDomain,Long Statement,"The length of the statement ""SingleTypeInfo singleTypeInfo=new SingleTypeInfo(paramId`new HashSet<>()`new HashSet<>()`0`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 209.",29
akto,com.akto.dao,TestSingleTypeInfoDao,testDefaultDomain,Magic Number,The method contains a magic number: 200,29
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchAktoDefined,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId=new SingleTypeInfo.ParamId(""url""`""GET""`200`false`""param#key""`SingleTypeInfo.EMAIL`0`false);"" is 122.",45
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchAktoDefined,Long Statement,"The length of the statement ""SingleTypeInfo singleTypeInfo=new SingleTypeInfo(paramId`new HashSet<>()`new HashSet<>()`0`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 209.",45
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchAktoDefined,Magic Number,The method contains a magic number: 200,45
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchCustom,Long Statement,"The length of the statement ""Conditions keyConditions=new Conditions(Arrays.asList(new StartsWithPredicate(""we"")`new RegexPredicate(""reg""))`Conditions.Operator.AND);"" is 136.",61
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchCustom,Long Statement,"The length of the statement ""Conditions valueConditions=new Conditions(Collections.singletonList(new EndsWithPredicate(""something""))`Conditions.Operator.OR);"" is 128.",61
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchCustom,Long Statement,"The length of the statement ""CustomDataType customDataType=new CustomDataType(""custom1""`false`Arrays.asList(SingleTypeInfo.Position.REQUEST_PAYLOAD`SingleTypeInfo.Position.RESPONSE_PAYLOAD)`0`true`keyConditions`valueConditions`Conditions.Operator.OR`ignoreData);"" is 233.",61
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchCustom,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId=new SingleTypeInfo.ParamId(""url""`""GET""`200`false`""param#key""`customDataType.toSubType()`0`false);"" is 128.",61
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchCustom,Long Statement,"The length of the statement ""SingleTypeInfo singleTypeInfo=new SingleTypeInfo(paramId`new HashSet<>()`new HashSet<>()`0`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 209.",61
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchCustom,Magic Number,The method contains a magic number: 1_000_000,61
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchCustom,Magic Number,The method contains a magic number: 200,61
akto,com.akto.dao,TestSingleTypeInfoDao,createSingleTypeInfoUpdate,Long Parameter List,The method has 5 parameters. ,96
akto,com.akto.dao,TestSingleTypeInfoDao,createSingleTypeInfoUpdate,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId=new SingleTypeInfo.ParamId(url`method`responseCode`false`""param""`subType`apiCollectionId`false);"" is 127.",96
akto,com.akto.dao,TestSingleTypeInfoDao,createSingleTypeInfoUpdate,Long Statement,"The length of the statement ""SingleTypeInfo singleTypeInfo=new SingleTypeInfo(paramId`new HashSet<>()`new HashSet<>()`100`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 211.",96
akto,com.akto.dao,TestSingleTypeInfoDao,createSingleTypeInfoUpdate,Long Statement,"The length of the statement ""return new UpdateOneModel<>(SingleTypeInfoDao.createFilters(singleTypeInfo)`Updates.combine(Updates.set(""count""`1)`Updates.set(""timestamp""`singleTypeInfo.getTimestamp()))`updateOptions);"" is 186.",96
akto,com.akto.dao,TestSingleTypeInfoDao,createSingleTypeInfoUpdate,Magic Number,The method contains a magic number: 100,96
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Long Statement,"The length of the statement ""CustomDataType customDataType1=new CustomDataType(""CUSTOM_DATA_1""`true`Collections.emptyList()`0`true`null`null`Conditions.Operator.AND`ignoreData);"" is 148.",107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Long Statement,"The length of the statement ""CustomDataType customDataType2=new CustomDataType(""CUSTOM_DATA_2""`false`Collections.emptyList()`0`true`null`null`Conditions.Operator.AND`ignoreData);"" is 149.",107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 1_000_000,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 200,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 200,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 200,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 200,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 200,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 9,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 6,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 4,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 200,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Magic Number,The method contains a magic number: 5,107
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForAllNewParams,Magic Number,The method contains a magic number: 200,153
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForAllNewParams,Magic Number,The method contains a magic number: 200,153
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForAllNewParams,Magic Number,The method contains a magic number: 2,153
akto,com.akto.dao,TestSingleTypeInfoDao,testResetCount,Magic Number,The method contains a magic number: 200,168
akto,com.akto.dao,TestSingleTypeInfoDao,testResetCount,Magic Number,The method contains a magic number: 200,168
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 200,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 200,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 201,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 200,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 200,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 200,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 200,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 200,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 1000,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 200,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 1000,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 4,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 2,189
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Magic Number,The method contains a magic number: 7,189
akto,com.akto.dao,TestSingleTypeInfoDao,testDeleteValues,Long Statement,"The length of the statement ""SingleTypeInfoDao.instance.getMCollection().updateMany(new BasicDBObject()`Updates.addEachToSet(SingleTypeInfo._VALUES + "".elements""`Arrays.asList(""a""`""b""`""c"")));"" is 162.",217
akto,com.akto.dao,TestSingleTypeInfoDao,testDeleteValues,Magic Number,The method contains a magic number: 200,217
akto,com.akto.dao,TestSingleTypeInfoDao,testDeleteValues,Magic Number,The method contains a magic number: 200,217
akto,com.akto.dao,TestSingleTypeInfoDao,testDeleteValues,Magic Number,The method contains a magic number: 2,217
akto,com.akto.dao,TestSingleTypeInfoDao,testDeleteValues,Magic Number,The method contains a magic number: 3,217
akto,com.akto.dao,TestSingleTypeInfoDao,testDeleteValues,Magic Number,The method contains a magic number: 2,217
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId1=new SingleTypeInfo.ParamId(""url""`""GET""`200`false`""param1""`SingleTypeInfo.GENERIC`0`false);"" is 122.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""SingleTypeInfo sti1=new SingleTypeInfo(paramId1`new HashSet<>()`new HashSet<>()`0`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 200.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""SingleTypeInfo sti2=new SingleTypeInfo(paramId2`new HashSet<>()`new HashSet<>()`0`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 200.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId3=new SingleTypeInfo.ParamId(""url_next""`""GET""`200`false`""param1""`SingleTypeInfo.EMAIL`0`false);"" is 125.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""SingleTypeInfo sti3=new SingleTypeInfo(paramId3`new HashSet<>()`new HashSet<>()`0`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 200.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""SingleTypeInfo.ParamId paramId4=new SingleTypeInfo.ParamId(""url""`""POST""`200`false`""param1""`SingleTypeInfo.EMAIL`0`false);"" is 121.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""SingleTypeInfo sti4=new SingleTypeInfo(paramId4`new HashSet<>()`new HashSet<>()`0`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 200.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""SingleTypeInfo sti5=new SingleTypeInfo(paramId5`new HashSet<>()`new HashSet<>()`0`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 200.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""SingleTypeInfo sti6=new SingleTypeInfo(paramId6`new HashSet<>()`new HashSet<>()`0`0`0`new CappedSet<>()`SingleTypeInfo.Domain.ENUM`SingleTypeInfo.ACCEPTED_MAX_VALUE`SingleTypeInfo.ACCEPTED_MIN_VALUE);"" is 200.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""bulkWrites.add(new UpdateOneModel<>(SingleTypeInfoDao.createFilters(sti1)`Updates.set(""count""`1)`new UpdateOptions().upsert(true)));"" is 132.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""bulkWrites.add(new UpdateOneModel<>(SingleTypeInfoDao.createFilters(sti2)`Updates.set(""count""`1)`new UpdateOptions().upsert(true)));"" is 132.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""bulkWrites.add(new UpdateOneModel<>(SingleTypeInfoDao.createFilters(sti3)`Updates.set(""count""`1)`new UpdateOptions().upsert(true)));"" is 132.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""bulkWrites.add(new UpdateOneModel<>(SingleTypeInfoDao.createFilters(sti4)`Updates.set(""count""`1)`new UpdateOptions().upsert(true)));"" is 132.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""bulkWrites.add(new UpdateOneModel<>(SingleTypeInfoDao.createFilters(sti5)`Updates.set(""count""`1)`new UpdateOptions().upsert(true)));"" is 132.",245
akto,com.akto.dao,TestSingleTypeInfoDao,testCreateFiltersWithoutSubType,Long Statement,"The length of the statement ""bulkWrites.add(new UpdateOneModel<>(SingleTypeInfoDao.createFilters(sti6)`Updates.set(""count""`1)`new UpdateOptions().upsert(true)));"" is 132.",245
