Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
akto,com.akto.types,TestCappedSet,testAdd,13,4,0,9,1,,
akto,com.akto.types,CappedSet,create,5,1,1,10,0,com.akto.types.CappedSet,com.akto.types.CappedSet
akto,com.akto.types,CappedSet,CappedSet,3,1,1,18,0,,
akto,com.akto.types,CappedSet,CappedSet,3,1,0,22,0,,
akto,com.akto.types,CappedSet,count,4,2,0,26,0,,
akto,com.akto.types,CappedSet,add,5,2,1,31,0,,
akto,com.akto.types,CappedSet,getElements,3,1,0,37,0,,
akto,com.akto.types,CappedSet,setElements,3,1,1,41,0,,
akto,com.akto.types,CappedList,CappedList,2,1,0,12,0,,
akto,com.akto.types,CappedList,CappedList,6,1,2,15,0,,
akto,com.akto.types,CappedList,add,18,5,1,22,0,,
akto,com.akto.types,CappedList,get,3,1,0,44,0,,
akto,com.akto.types,CappedList,getLimit,3,1,0,48,0,,
akto,com.akto.types,CappedList,setLimit,3,1,1,52,0,,
akto,com.akto.types,CappedList,getElements,3,1,0,56,0,,
akto,com.akto.types,CappedList,setElements,3,1,1,60,0,,
akto,com.akto.types,CappedList,isForceLatestEntry,3,1,0,64,0,,
akto,com.akto.types,CappedList,setForceLatestEntry,3,1,1,68,0,,
akto,com.akto.types,CappedList,getNextPos,3,1,0,72,0,,
akto,com.akto.types,CappedList,setNextPos,3,1,1,76,0,,
akto,com.akto.types,BasicDBListL,BasicDBListL,3,1,0,7,0,,
akto,com.akto.types,BasicDBListL,BasicDBListL,6,2,1,11,0,,
akto,com.akto.dao,TestSingleTypeInfoDao,testDefaultDomain,8,1,0,29,1,com.akto.dto.type.SingleTypeInfo,com.akto.dto.type.SingleTypeInfo; com.akto.dao.SingleTypeInfoDao; com.akto.dao.MCollection
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchAktoDefined,8,1,0,45,1,com.akto.dao.SingleTypeInfoDao,com.akto.dao.SingleTypeInfoDao; com.akto.dto.type.SingleTypeInfo; com.akto.dao.MCollection
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchCustom,18,1,0,61,1,com.akto.dao.SingleTypeInfoDao,com.akto.dao.SingleTypeInfoDao; com.akto.dto.type.SingleTypeInfo; com.akto.dao.MCollection; com.akto.dto.CustomDataType
