Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
akto,com.akto.types,TestCappedSet,testAdd,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchCustom,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
akto,com.akto.dao,TestSingleTypeInfoDao,testInsertAndFetchCustom,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dao.SingleTypeInfoDao.createFilters; com.akto.dto.type.SingleTypeInfo.getParam; com.akto.dto.type.SingleTypeInfo.getSubType; com.akto.dao.MCollection.getMCollection; com.akto.dto.CustomDataType.toSubType; com.akto.dao.MCollection.findOne; com.akto.dto.type.SingleTypeInfo.fetchCustomDataTypes; com.akto.dao.MCollection.updateOne
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
akto,com.akto.dao,TestSingleTypeInfoDao,testFilterForSensitiveParamsExcludingUserMarkedSensitive,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dao.MCollection.findAll; com.akto.dao.SingleTypeInfoDao.filterForSensitiveParamsExcludingUserMarkedSensitive; com.akto.dao.MCollection.getMCollection; com.akto.dto.CustomDataType.toSubType; com.akto.dao.SingleTypeInfoDao.getSensitiveEndpoints; com.akto.dto.type.SingleTypeInfo.fetchCustomDataTypes
akto,com.akto.dao,TestSingleTypeInfoDao,testResetCount,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchEndpointsInCollection,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dao.SingleTypeInfoDao.fetchEndpointsInCollection; com.akto.dao.MCollection.getMCollection
akto,com.akto.dao,TestSingleTypeInfoDao,testDeleteValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
akto,com.akto.dao,TestSingleTypeInfoDao,testDeleteValues,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.types.CappedSet.getElements; com.akto.dao.SingleTypeInfoDao.deleteValues; com.akto.dao.MCollection.getMCollection; com.akto.dao.SingleTypeInfoDao.fetchAll; com.akto.dto.type.SingleTypeInfo.getValues
